Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Tal Vez","Paulo Londra","Homerun","Learn Spanish","Playlist","USWL11900063","5jW3rF4URMdK7tO2xjS5EI"
"So Fresh","Paulo Londra","Homerun","Learn Spanish","Playlist","USWL11900124","4Egu7kAjEmygXrtX2n7AIV"
"Que Calor (with J Balvin & El Alfa)","Major Lazer","Que Calor (with J Balvin & El Alfa)","Learn Spanish","Playlist","QMUY41800271","1sviDBcAqVOxMXq4xITVEs"
"Callaita","Bad Bunny","Callaita","Learn Spanish","Playlist","QM6N21919851","2TH65lNHgvLxCKXM3apjxI"
"Morado","J Balvin","Morado","Learn Spanish","Playlist","USUM71924691","3mQ6SLdxxaL52Yte7KF2Ks"
"La Romana","Bad Bunny","X 100PRE","Learn Spanish","Playlist","QM7281884731","1khmgu0pveJbkbpbkyvcQv"
"No Vuelvas Más","Darell","No Vuelvas Más","Learn Spanish","Playlist","USSD11900403","0mcBgVRVsvESTkEyVHt7Ue"
"Hola Señorita","GIMS","Hola Señorita","Learn Spanish","Playlist","FR8FB1901430","71MEWIf4Itr8Pd9OW5Mq7q"
"Blanco","J Balvin","Colores","Learn Spanish","Playlist","USUM71922372","5pXy29xzxR3aTB0SYRI590"
"Don´t Come Back","Danna Voice","Don´t Come Back","Learn Spanish","Playlist","ART0G2001592","6eH7Ka4mAhseIYHbSouTRY"
"New","MLM","New","Learn Spanish","Playlist","TCAEJ1942823","1QmLuIIj6j8nJWhhpCv04w"
"Hawái","Maluma","PAPI JUANCHO","Learn Spanish","Playlist","USSD12000190","1yoMvmasuxZfqHEipJhRbp"
"BICHOTA","KAROL G","Reguetón Sólido","Learn Spanish","Playlist","USUM72019324","7AESVKeHpNr2KrPUKbsbat"
"Downtown","Anitta","Downtown","Learn Spanish","Playlist","BRWMB0700761","3Ga6eKrUFf12ouh9Yw3v2D"
"Te Boté (versión bolero)","Los Rivera Destino","Te Boté (versión bolero)","Learn Spanish","Playlist","QMPKX1886648","1D1YNQgrvte4jgJVUUAOsx"
"XOXA - Premium","Farruko","XOXA (Premium)","Learn Spanish","Playlist","USSD12100001","2K1mqI6DBj5qv83oif1Zj5"
"Diplomatico","Major Lazer","Diplomatico (feat. Guaynaa)","Learn Spanish","Playlist","QMUY42100007","7a94Ov4vCVJFWkMQQSIFHU"
"Singapur","El Alfa","El Androide","Learn Spanish","Playlist","USDY42003198","4QfZYDhGZc0T2RDvGiI69E"
"Ropa Cara","Camilo","Mis Manos","Learn Spanish","Playlist","USSD12000609","2zY1iTaEgs8ROkkWtWLe7l"
"Travesuras","Flow La Movie","Travesuras","Learn Spanish","Playlist","QMFME2016782","2etJ67Egf7woMgOikVrlJM"
"Vitamina Q (feat. Justin Quiles & Lirico En La Casa)","BCA","Vitamina Q (feat. Justin Quiles & Lirico En La Casa)","Learn Spanish","Playlist","USWL12100318","5PhabK1aFpmmfV2Va6tzGP"
"Mama Tetema (feat. Rayvanny)","Maluma","Mama Tetema (feat. Rayvanny)","Learn Spanish","Playlist","USSD12100767","0nuTnOboL7Zaaqm76CQHEk"
"PAKATA","Darell","PAKATA","Learn Spanish","Playlist","USSD12100551","59rRvUjxSrKnimSsg678f9"
"GALAPIN","El Alfa","GALAPIN","Learn Spanish","Playlist","QM4TX2227949","29EmyYlu6tRW51iY7AvGNT"
"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","Learn Spanish","Playlist","ES5152101308","0Bv7O6fmZk3GrNQFYJaXPn"
"Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti","Learn Spanish","Playlist","QM6MZ2214878","1IHWl5LamUGEuP4ozKQSXZ"
"Agua Salada","Marc Seguí","Agua Salada","Learn Spanish","Playlist","ES5152200711","22QO6gby3fhNRkNVAFxp5v"
"Todo De Ti","Rauw Alejandro","VICE VERSA","Learn Spanish","Playlist","USSD12100202","3rdAz1fbUfZxYgaCviYhRo"
"Bellacon","El Alfa","Bellacon","Learn Spanish","Playlist","QMDA62200426","4Zj3K3UaUMC6ndSwl05Zyd"
"Jugaste y Sufrí","Eslabon Armado","Corta Venas","Learn Spanish","Playlist","USE7D2000268","3NqBxTOMCJ3zW9CIP51td4"
"Vacilón - Remix","BM Legacy","Vacilón (Remix)","Learn Spanish","Playlist","QZW9M2282663","0nrH2kX7vKIIIEGDZOhVFo"
"PA' ROMPERLA","Bad Bunny","LAS QUE NO IBAN A SALIR","Learn Spanish","Playlist","QM6N22010809","5XqCz18k96K8tx6DAYM97i"
"No Smoking","Shelow Shaq","No Smoking","Learn Spanish","Playlist","GBRKQ2220629","4iKOxLji5LlmjkdbXHmMhB"
"Águila del Monte","Martina Camargo","Paisaje en Tambora","Learn Spanish","Playlist","FRX201627319","1Z8TJqKFu3ACgAAEyieDua"
"Ilán Ilán","Martina Camargo","Paisaje en Tambora","Learn Spanish","Playlist","FRX201627317","6DXzLkastyH24052wilVVf"
"Cabaña","El Jordan 23","Cabaña","Learn Spanish","Playlist","QM7282354441","6UR1k5NGqgNGzgVmMtT768"
"LA COMBI VERSACE","ROSALÍA","MOTOMAMI","Learn Spanish","Playlist","USSM12109231","5gCNf9wMVrYuM2fvfgLTlF"
"Malory","Ryan Castro","Malory","Learn Spanish","Playlist","FRX762124045","4T18CIOag4LfuqqfzyBQmw"
"Asesina","Brytiago","Asesina","Learn Spanish","Playlist","QM4TX1806458","5lZaM4985p0t3YfizlQWUz"
"Mambo Gozon","Tito Puente","Hoy y Ayer","Learn Spanish","Playlist","USA560536384","4Iiy5doxetdLITBUyxTXsi"
"Me Porto Bonito","Bad Bunny","Un Verano Sin Ti","Learn Spanish","Playlist","QM6MZ2214877","6Sq7ltF9Qa7SNFBsV5Cogx"
"Mis Amigos","Los Rivera Destino","BESITOS Y BESITAS","Learn Spanish","Playlist","USSD12100546","5ASgCuoSaUeh24vvra1HZ0"
"Gafas Negras","Maluma","Gafas Negras","Learn Spanish","Playlist","USSD12300402","4s7hIsoRpnmaSvdETaIOSe"
"Jordan","Ryan Castro","Jordan","Learn Spanish","Playlist","FR96X2111994","6y8z28epOv5FlaxDv1Lo5B"
"Suplicar","¿Téo?","Sol","Learn Spanish","Playlist","CA5KR2083879","286XkmMVdnPWMvQu0F9XjK"
"La Gata Bajo la Lluvia","Rocío Dúrcal","Lo Mejor De Lo Mejor","Learn Spanish","Playlist","MXF018801070","0incizGIFilFp6soKuyHvZ"
"Cumbia Sobre El Mar","Quantic","Dog With a Rope (Quantic Presenta Flowering Inferno)","Learn Spanish","Playlist","GBEUE0901804","61muv9lHtgN18qbm9oK9pH"
"Eres Tú","Carla Morrison","Déjenme Llorar","Learn Spanish","Playlist","USDP21108415","75zvC8d4iozawMJvxt8T1f"
"Que Nadie","Manuel Carrasco","Confieso Que He Sentido","Learn Spanish","Playlist","ES5701300688","6Pux18OTSmaraH05EiexkA"
"Ojalá","Beret","Ojalá","Learn Spanish","Playlist","GBLPF0600499","0s3kHupM6ZlQGkHzveZSJq"
"Lo Malo","Aitana","Lo Malo","Learn Spanish","Playlist","ES5701800152","5bhDL4GgUvr5LBrpjqyrte"
"Sofia","Alvaro Soler","Eterno Agosto","Learn Spanish","Playlist","DEUM71601055","5vj59ONIVbyhcrI8ZSwoRo"
"Corazón Sin Cara","Prince Royce","Prince Royce","Learn Spanish","Playlist","US7YG0903381","0u4N6w5lBw5xMrzJitRWUo"
"El Mismo Sol","Alvaro Soler","Eterno Agosto","Learn Spanish","Playlist","DEUM71500508","58WOkUl3O9LvLZjdhiQvIX"
"Me Gustas Tu","Manu Chao","Próxima Estación: Esperanza","Learn Spanish","Playlist","FR84R0000004","6b37xrsNCWYIUphFBazqD6"
"La Tortura (feat. Alejandro Sanz)","Shakira","Fijación Oral, Vol. 1","Learn Spanish","Playlist","USSM10501700","5BSclXJTa9B0iURhUjZo50"
"Amor, Amor de Mis Amores (with Devendra Banhart)","Natalia Lafourcade","Mujer Divina - Homenaje a Agustín Lara","Learn Spanish","Playlist","MXF011200096","3dB42OEuVNiktvt3V5JRVI"
"Vivir Mi Vida","Marc Anthony","3.0","Learn Spanish","Playlist","USSD11300112","3QHMxEOAGD51PDlbFPHLyJ"
"La Bicicleta","Carlos Vives","El Dorado","Learn Spanish","Playlist","USSD11600112","0sXvAOmXgjR2QUqLK1MltU"
"Limón y Sal","Julieta Venegas","Limon Y Sal","Learn Spanish","Playlist","MXF010600234","7dITAq1YP5e0kTcaDq4YWI"
"Si tú no estas","Rosana","Lunas rotas","Learn Spanish","Playlist","ES6330300130","7CX6W4Mf98wMgX0izqRpAl"
"Antes de Ti","Rusherking","Antes de Ti","Learn Spanish","Playlist","QMDA62132759","2bmRctCS21f40hsy0cqYxt"
"Abrázame","Camila","Todo Cambio","Learn Spanish","Playlist","MXF010600026","6rCyXpDwlMf1GH2qlpjJWv"
"Fotografía","Juanes","Un Día Normal","Learn Spanish","Playlist","USUL10200273","0dEPlb8waIqRtKpLb3l6So"
"Tu Falta De Querer","Mon Laferte","Mon Laferte (Vol. 1)","Learn Spanish","Playlist","MXUM71502002","4skuEIloXWuxxgekKupkEH"
"Contigo en la Distancia","Christina Aguilera","Mi Reflejo","Learn Spanish","Playlist","USRC10000563","3iNPY9AOdaklvkNAgmRHRk"
"Si No Te Hubieras Ido","Marco Antonio Solís","La Historia Continúa...Parte IV","Learn Spanish","Playlist","USFI29902597","3l1ZanpJ3jFQZMqATizqfE"
"Solamente tú","Pablo Alborán","Pablo Alboran (Deluxe)","Learn Spanish","Playlist","ES7661000001","7sRXhReWmJF5pqyg3uUTES"
"Eres para Mí","Julieta Venegas","Limon Y Sal","Learn Spanish","Playlist","MXF010600240","4m3vLNZkFAjm30XxPXf7E3"
"Sin miedo a nada (feat. Amaia Montero)","Alex Ubago","¿Qué pides tú? (Argentina)","Learn Spanish","Playlist","ES5010100314","02bKaAG61tMw9c63fzKXal"
"Quizás, Quizás, Quizás","Andrea Bocelli","Passione (Remastered)","Learn Spanish","Playlist","ITZ041200141","4P12Yr65eg23GEYdKVlrXk"
"Un Año","Sebastian Yatra","Un Año","Learn Spanish","Playlist","USUM71821048","5BDP2tky8oMQJPS33frKVp"
"Perdóname (con Carminho)","Pablo Alborán","Pablo Alboran (Deluxe)","Learn Spanish","Playlist","ES7661100008","2eleVki3Dm0dj2faiXmPqv"
"Tuyo","Rodrigo Amarante","Narcos: Season 2 (A Netflix Original Series Soundtrack)","Learn Spanish","Playlist","USLS51689820","4F6bP95ULviRgg17IPaox6"
"A Puro Dolor","Son By Four","Disco de Oro","Learn Spanish","Playlist","USSD19905464","0OZX1hG9Q8J15nEtpzVGln"
"Aqui Estoy Yo","Luis Fonsi","Palabras Del Silencio (Edición Aniversario - Un Año Despues)","Learn Spanish","Playlist","USUM70812966","4go2M6us50x9TQ1NvsB4vt"
"Disfruto","Carla Morrison","Déjenme Llorar","Learn Spanish","Playlist","USDP21108419","6UR5tB1wVm7qvH4xfsHr8m"
"Déjenme Llorar","Carla Morrison","Déjenme Llorar","Learn Spanish","Playlist","USDP21108420","4oBSrpZNE2K79sMuS0jCyx"
"All Of Me - Spanish Version","Cristian Larrosa","Nostalgic Lounge (Live & Studio Covers)","Learn Spanish","Playlist","FR2X41878876","4v6ceaoxHYmxVF94XlgT2L"
"Hasta Que Te Conocí","Marc Anthony","Todo A Su Tiempo","Learn Spanish","Playlist","USUL10300695","65mwJoHtK7wvK29mz1edHi"
"Mismo Amor","Julieta Venegas","Mismo Amor","Learn Spanish","Playlist","MXD782200412","1p1Nw0D1JJYbaLLuCY7PEw"
"Voy a Perder la Cabeza por Tu Amor (Edited Version)","José Luis Rodríguez","La Historia del Puma","Learn Spanish","Playlist","USBL10400261","72Waik38CMN90HrbZdvKC6"
"Bailando - Spanish Version","Enrique Iglesias","SEX AND LOVE (Deluxe)","Learn Spanish","Playlist","GBUM71400955","32lm3769IRfcnrQV11LO4E"
"Chantaje (feat. Maluma)","Shakira","El Dorado","Learn Spanish","Playlist","USSD11600299","6mICuAdrwEjh6Y6lroV2Kg"
"Despacito","Luis Fonsi","VIDA","Learn Spanish","Playlist","USUM71607007","6habFhsOp2NvshLv26DqMb"
"La Bicicleta","Carlos Vives","VIVES","Learn Spanish","Playlist","USSD11600112","0Gx4VrHzS7pZOEAGrmXXBH"
"Propuesta Indecente","Romeo Santos","Fórmula, Vol. 2 (Deluxe Edition)","Learn Spanish","Playlist","USSD11300197","5PycBIeabfvX3n9ILG7Vrv"
"Flor Pálida","Marc Anthony","3.0","Learn Spanish","Playlist","USSD11300190","47TyfLrGhYHHyyQWk64d0M"
"Hey DJ","CNCO","CNCO","Learn Spanish","Playlist","USSD11700118","1XgpK29CGGjZnxPYkiRbh4"
"Quimbara","Johnny Pacheco","Celia & Johnny","Learn Spanish","Playlist","USDBB0600020","6ydEhrdfzhI29D2NBAqUY1"
"La Camisa Negra","Juanes","Mi Sangre","Learn Spanish","Playlist","USUL10400965","2EM9zpAc7PVeoAydmbfVIL"
"Paloma Negra","Chavela Vargas","Homenaje a una Grande","Learn Spanish","Playlist","MXF019700604","0anotjq0eIK4DsolmSaofp"
"El Sol No Regresa","La Quinta Estacion","Recuérdame Con Cartas Y Algo Más... Los Exitos (Deluxe Edition)","Learn Spanish","Playlist","MXF010400019","0c8f8b76ThPP2MInXEZyTY"
"A Dios Le Pido","Juanes","Un Día Normal","Learn Spanish","Playlist","USUL10200158","129lYDVKnWtlJc2PZJviuA"
"Tu Cárcel","Lila Downs","Pecados Y Milagros","Learn Spanish","Playlist","MXF011100406","7qh0rNl1J5JPONLpZbAofd"
"Perdón, Perdón - HA-ASH Primera Fila - Hecho Realidad [En Vivo]","Ha*Ash","HA-ASH Primera Fila - Hecho Realidad","Learn Spanish","Playlist","MXF011400272","15Hx1oi6C3AxYhhvolqrJG"
"Nosotros","Soledad Bravo","Boleros","Learn Spanish","Playlist","US2BR9702294","5lEKj9twX0n6s2vhCdiQEG"
"Pajarillo Verde","Soledad Bravo","Arvolicos d'Almendra","Learn Spanish","Playlist","QM4TW1670743","1ebslsQcXFPNRBLsa76qEK"
"De Plata","ROSALÍA","Los Ángeles","Learn Spanish","Playlist","ES5701601330","6ZpYO78uVWjZ6AoxSxnAri"
"Quizás, Quizás, Quizás","Gaby Moreno","Postales","Learn Spanish","Playlist","GB87Q1200062","1ISZbzhmRr78EzyHEVYeIb"
"La Sandunga","Lila Downs","La Sandunga","Learn Spanish","Playlist","USNPD0310121","5V3eIxVzFeD9W2JmZgBpNx"
"Dios Nunca Muere","Lila Downs","Pecados Y Milagros","Learn Spanish","Playlist","MXF011100415","28QHawocxdu8KeK3EpfNbN"
"Bamboléo","Gipsy Kings","Gipsy Kings","Learn Spanish","Playlist","GBARL0700397","3qzVJh6INW1CzSDVR9MRgS"
"Chan Chan","Buena Vista Social Club","Buena Vista Social Club","Learn Spanish","Playlist","GBBGU9700150","5sbw5zIz9ck2pOEDXUR0QU"
"Mandinga","Ruben Gonzalez","Introducing","Learn Spanish","Playlist","GBBGU9700549","4NLWlxYCPrw2PhfJvfxRWI"
"Mis Dos Pequeñas (feat. Angá Díaz, Amadito Valdés, Carlos González & Manuel Galbán)","Orlando ""Cachaíto"" López","Cachaito","Learn Spanish","Playlist","GBBGU0161003","7yMwkwxNCcsck1SOMgBFlm"
"Clandestino","Manu Chao","Clandestino","Learn Spanish","Playlist","FRZ189800011","51R2M1JgyFfRS3e6v5wCt3"
"Me Dieron la Clave","Vieja Trova Santiaguera","Hotel Asturias","Learn Spanish","Playlist","ESAAI0135645","1uKQjIcm4T1ZMVhM8cAoOM"
"Mecanica de Amor","Mi Son","Si, Soy El Son","Learn Spanish","Playlist","USA560534633","6BSS3mq4ZuNGzjLEBW3dCn"
"Suavemente","Elvis Crespo","Suavemente...Los Exitos","Learn Spanish","Playlist","USSD19700576","1YwPNemawMgGe6sF4U0FTE"
"Daniela","Rodolfo Aicardi","De Peligro","Learn Spanish","Playlist","COF019600848","4eMjJ98X5b5bu4wzdW4U6l"
"El Cuarto de Tula","Buena Vista Social Club","Buena Vista Social Club","Learn Spanish","Playlist","GBBGU9700350","7dRfobhDNnsEgB2ZArxA1f"
"Cumbia Espacial","Ondatrópica","Ondatrópica (Deluxe Version)","Learn Spanish","Playlist","GBUQH1200083","0TEgK2OCQibruKMkHRkB4q"
"La Luna y Carmela","Luis Miguel Hernandez","Última Сampana","Learn Spanish","Playlist","QT6E82526565","1Jfl8NMQKN9TbLTE8uJyPR"
"Nueva York Pasando Lista","Kinito Mendez","1","Learn Spanish","Playlist","US3Z41500225","54zcl1BTpMXbEM4qtPCnfO"
"Guajira guantanamera","Compay Segundo","Coleccion","Learn Spanish","Playlist","ES5010300363","2Vy9F0mp0gcj9NxzfVDcQm"
"Pío mentiroso","Afro-Cuban All Stars","A Toda Cuba Le Gusta","Learn Spanish","Playlist","GBBGU9700747","3fnFvshSGl4VS20OYdtk3o"
"El Pregón de Ramón","Luis Miguel Hernandez","Última Сampana","Learn Spanish","Playlist","QT6E82526566","3okjyHJvBLijem2ee0idam"
"Moliendo café","Vieja Trova Santiaguera","El Balcon Del Adios","Learn Spanish","Playlist","ES5030100200","4jM0v4ReOQh5RntXfiG3NN"
"Maria Cristina","Vieja Trova Santiaguera","La Manigua","Learn Spanish","Playlist","ES1039800022","6R9jgcolWRwvk6WLqzp27A"
"Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack","Rodrigo Amarante","Tuyo (Narcos Theme) [A Netflix Original Series Soundtrack]","Learn Spanish","Playlist","USLS51551202","6Dc2tCivms1s2X9myWe4ni"
"Candela","Buena Vista Social Club","Buena Vista Social Club","Learn Spanish","Playlist","GBBGU9700950","1eHGsCdAWh1Ffowzacpfoi"
"Baila Me","Gipsy Kings","Este Mundo","Learn Spanish","Playlist","GBARL0700383","1b16nGcriHrro1asIxuHoh"
"Morenita","Cubismo","Junglesalsa","Learn Spanish","Playlist","HRA100300670","0lygXGSf5bI10nmOvQsTnC"
"Sarandonga","Compay Segundo","Coleccion","Learn Spanish","Playlist","ES5019680031","2xb7fT6p1348RlQdbs3IzC"
"Amor verdadero","Afro-Cuban All Stars","A Toda Cuba Le Gusta","Learn Spanish","Playlist","GBBGU9700147","6Ds9miFD06FwpFdAuqDo0h"
"Obsesion","Aventura","We Broke The Rules","Learn Spanish","Playlist","US83W0500074","65H6t1WQBim6q93yM8fEwn"
"La Bamba","Los Lobos","La Bamba / Charlena","Learn Spanish","Playlist","USRH10802794","0uMMLry3hzWGn3q3loqMkm"
"Le Canto al Palenque","Rey Cabrera","Controversia","Learn Spanish","Playlist","BEAP21300004","2eRV9v95bYRJYwxUhYPU6U"
"El rincón caliente","Manuel Guajiro Mirabal","Buena Vista Social Club Presents Manuel 'Guajiro' Mirabal","Learn Spanish","Playlist","GBBGU0469001","3t1XXF8kQQBNsDw3iYRQps"
"La negra Tomasa","Compay Segundo","Las Flores De La Vida","Learn Spanish","Playlist","ES5010080011","4zCsjPyHGJz8Vx0luwq4M1"
"A Buena Vista","Soneros De Verdad","A Buena Vista: Barrio De La Habana","Learn Spanish","Playlist","DEE790010410","6K4iVISawI285iTxyvBIEB"
"El Baile de Don Pancho","Luis Miguel Hernandez","Última Сampana","Learn Spanish","Playlist","QT6E82526567","3ednPCAn0dl1unpKifAKiX"
"¿Dónde estabas tú?","Omara Portuondo","Omara Portuondo (Buena Vista Social Club Presents)","Learn Spanish","Playlist","GBBGU0059003","3mNKgwNiyOkGPWCo3jV1Ap"
"Cumbiamba","Guillermo Portabales","El Carretero","Learn Spanish","Playlist","QMYW21900231","3fEiuqIz6JZB9y9MrydunX"
"Campiña","Afro Cuban Jazz Project","Descarga Uno","Learn Spanish","Playlist","FRX629871020","6ewVzCxCyJSNgjn7wlNVFq"
"Yo Soy el Punto Cubano","Fruko Y Sus Tesos","Fruko el Bueno ""ayunando""","Learn Spanish","Playlist","COF019600931","1T2Oad9XmT0EeBPNcI0IYI"
"Píntate Los Labios María (Son)","Eliades Ochoa","Sublime Ilusión","Learn Spanish","Playlist","ES5039900042","0A27Pm1SdsQbceOPH2m8SU"
"El Manisero - Mambo Son","Bebo Valdés","El Manisero","Learn Spanish","Playlist","USZZR0710026","00MvNfAAC4O5pSvAZPDnGc"
"Congo Mulence - 2000 Remaster","Machito","Kenya","Learn Spanish","Playlist","GBAYE9902074","1XRaBktVhYngLNsCzy1JsL"
"Estoy como nunca","Eliades Ochoa","Estoy Como Nunca","Learn Spanish","Playlist","ES5030200033","3aTSo5FtNDv6PQJFV9Jmxa"
"De Camino a La Vereda","Buena Vista Social Club","Buena Vista Social Club","Learn Spanish","Playlist","GBBGU9700250","3uHMnz8ocip1y36t4IFWfI"
"Tumba pala Cocuyé","Afro-Cuban All Stars","Distinto, diferente","Learn Spanish","Playlist","GBBGU9958002","6yOAu4HWDd9ggFYF1sDpCv"
"Dónde Va Chichi?","Sierra Maestra","Tibiri Tabara","Learn Spanish","Playlist","GBBGU9751002","7xpJQcmsnGG9ojztoCNe54"
"Compositor Confundido","Ibrahim Ferrer","Tierra Caliente","Learn Spanish","Playlist","ES71G2049818","3BePmVaRSCOPp2vqgyWTgf"
"Ray M'bele","Orchestra Baobab","Pirates Choice","Learn Spanish","Playlist","GBBGU0163005","7ggShewo0Cv1aDgzSsb9lg"
"Dos Gardenias","Buena Vista Social Club","Buena Vista Social Club","Learn Spanish","Playlist","GBBGU9700550","3eg6Yi9x0gN3k4nD4h6il3"
"Negro Y Azul: The Ballad of Heisenberg (From ""Breaking Bad"" TV Series)","Los Cuates de Sinaloa","Negro Y Azul: The Ballad of Heisenberg (From ""Breaking Bad"" TV Series)","Learn Spanish","Playlist","USSD10900373","0yzcqtdu85erFxmgeZp0zW"
"El Preso","Fruko Y Sus Tesos","Fruko el Grande","Learn Spanish","Playlist","COF019405135","1Fp4njyRHJYyMTKP899c0q"
"Tabaco y Ron","Rodolfo Aicardi","Muy Tropical y Bailable - 16 Exitos","Learn Spanish","Playlist","COF019600548","2jOuQXGCCVHrQeVzyNLwb9"
"Yiri Yiri Bon (son)","Eliades Ochoa","Un guajiro sin fronteras - Sus grandes éxitos","Learn Spanish","Playlist","ES5030000137","7q4JaxID79hbJu71Ro6Sfe"
"La Pantera Mambo","La-33","La-33","Learn Spanish","Playlist","COSM11300017","6258We1xSV3M2oLVMwhirP"
"Mambo No 5","Pérez Prado","Plays Mucho Mambo... and Other Fantastic Compositions","Learn Spanish","Playlist","DEZZ42149313","3fQLXoRwKQTnThncdMCqwG"
"Oye Cómo Va","Tito Puente","El Rey Bravo","Learn Spanish","Playlist","USDBB0601032","73uEbChpBB29ttwVnwuNVE"
